PROVINCE,ENTERPRISE_TYPE,ENTERPRISE_PROPERTIES,CURRENCY,STYPE,SSTATUS,OPREATE_TYPE,STATUS,APPROVE,ZZ_FYLX,QUALITY_AUTHENTICATION,SFTGZYJKAQRZ,SFTGHJRZ,CONTROLNUMBER,INSIDE,PAYMENTLEVEL
-1,137,39,552,468,468,484,552,376,447,184,478,112,275,296,187
-1,433,39,552,468,468,484,552,176,123,184,478,112,275,296,21
-1,433,164,552,468,468,484,552,376,123,386,92,112,275,296,187
-1,433,220,552,468,468,484,13,12,123,386,478,112,275,296,187
-1,137,164,552,468,468,484,552,176,447,386,478,112,48,296,187
-1,137,51,552,468,468,484,552,376,447,386,478,112,48,296,21
-1,433,220,552,468,468,484,552,176,123,386,478,112,275,296,21
-1,137,220,552,468,468,484,552,376,123,184,478,112,275,296,10
-1,433,220,552,468,468,484,552,176,123,184,478,112,275,296,187
-1,433,220,552,468,468,484,552,176,123,184,478,112,275,296,10
-1,433,220,552,468,468,484,552,176,447,184,478,112,275,296,187
-1,137,220,552,468,468,484,552,376,123,184,478,112,275,296,53
-1,137,220,552,468,468,484,552,376,123,184,478,112,275,296,10
-1,433,51,552,468,468,484,552,376,447,386,92,112,275,296,53
-1,433,4,552,468,468,484,552,176,447,386,92,112,48,296,53
-1,433,220,552,468,468,484,552,376,123,386,92,112,275,296,53
-1,433,12,12,468,468,484,552,376,447,386,478,112,275,296,53
-1,433,51,552,468,468,484,552,376,447,386,478,112,275,296,187
-1,137,164,552,468,468,484,552,176,123,184,478,112,275,296,187
-1,433,220,552,468,468,484,13,12,123,386,478,112,48,296,187
-1,433,220,552,468,468,484,552,376,123,386,478,112,275,296,187
-1,433,23,552,468,468,484,552,376,447,386,478,112,275,296,21
-1,433,51,552,102,99,73,13,1,447,386,478,112,275,296,187
-1,433,164,552,468,468,484,552,376,447,386,478,112,48,296,53
-1,433,220,552,468,468,484,552,376,123,184,478,112,275,296,53
-1,433,4,552,468,468,484,552,376,447,386,92,112,275,296,21
-1,433,39,552,468,468,484,5,5,123,386,92,112,275,296,187
-1,433,39,552,468,468,484,552,176,447,386,92,112,275,296,53
-1,433,39,552,468,468,484,13,12,447,184,478,112,275,296,187
-1,433,164,552,468,468,484,552,376,123,184,478,112,275,296,53
-1,433,220,552,468,468,484,552,376,447,386,478,112,48,296,187
-1,433,39,552,468,468,484,552,376,447,184,478,112,48,296,21
-1,433,164,552,468,468,484,552,376,447,184,478,112,48,296,21
-1,433,164,552,468,468,484,552,176,447,184,478,112,48,296,21
-1,433,220,552,468,468,484,552,176,447,386,478,112,275,296,187
-1,433,27,552,468,468,484,552,376,447,386,92,112,275,296,187
-1,433,23,552,102,99,73,552,176,447,184,478,112,275,296,187
-1,433,23,552,102,99,73,552,176,447,184,478,112,275,296,10
-1,433,23,552,102,99,73,5,5,447,184,478,112,275,296,187
-1,433,23,552,102,99,73,552,176,447,184,478,112,275,296,187
-1,433,164,552,468,468,484,552,376,447,184,478,112,275,296,53
-1,433,51,12,468,468,484,552,376,447,386,92,112,275,296,187
-1,433,220,552,468,468,484,552,376,123,386,478,112,275,296,187
-1,433,51,552,468,468,484,552,376,447,386,92,112,275,296,187
-1,433,12,12,468,468,484,552,176,447,386,92,112,275,296,187
-1,433,27,552,468,468,484,552,176,123,184,478,112,275,296,187
-1,433,220,552,468,468,484,552,176,123,386,92,112,275,296,187
-1,433,220,552,468,468,484,552,376,123,386,92,112,275,296,187
-1,433,220,552,468,468,484,552,376,123,386,478,112,275,296,187
-1,433,51,552,102,99,73,552,376,447,386,478,112,48,296,187
-1,433,220,552,468,468,484,552,376,123,386,478,112,275,296,53
-1,433,51,552,468,468,484,552,376,447,386,92,112,275,296,53
-1,433,51,552,102,99,73,552,176,447,386,92,112,275,296,187
-1,137,220,552,468,468,484,552,376,123,386,478,112,48,4,187
-1,433,12,1,468,468,484,552,376,123,386,92,112,48,296,187
-1,137,220,552,468,468,484,552,376,123,184,478,112,275,296,187
-1,433,164,552,468,468,484,552,376,447,386,478,112,275,296,187
-1,433,220,552,102,99,73,552,376,447,386,478,112,275,296,187
-1,433,23,552,468,468,484,552,376,123,386,478,112,275,296,53
-1,433,164,552,102,99,73,552,376,447,184,478,112,48,296,187
-1,433,23,552,468,468,484,552,376,447,386,478,112,275,296,187
-1,433,39,552,468,468,484,5,5,123,184,478,112,275,296,53
-1,433,23,552,468,468,484,552,176,447,184,478,112,275,296,187
-1,433,51,12,468,468,484,552,176,447,386,92,112,275,296,187
-1,433,220,552,468,468,484,552,176,447,386,478,112,275,296,187
-1,137,164,552,468,468,484,552,176,447,386,478,112,275,296,53
-1,433,220,552,468,468,484,552,176,447,386,478,112,275,296,187
-1,433,220,552,468,468,484,552,176,123,386,478,112,275,296,10
-1,433,220,552,468,468,484,552,376,447,386,478,112,275,296,187
-1,433,27,552,468,468,484,552,376,123,184,478,112,275,296,53
-1,433,23,552,102,99,73,552,176,447,184,478,112,275,296,187
-1,137,51,552,468,468,484,552,176,123,184,478,112,275,296,187
-1,433,39,552,468,468,484,552,376,123,184,478,112,275,296,187
-1,433,220,552,468,468,484,552,176,447,184,478,112,275,296,187
-1,433,51,552,468,468,484,552,376,123,386,478,112,275,296,187
-1,433,164,552,468,468,484,552,176,123,184,478,112,275,296,187
-1,433,27,552,468,468,484,552,176,123,184,478,112,275,296,187
-1,137,23,552,468,468,484,552,376,447,386,478,112,275,296,187
-1,137,164,552,468,468,484,13,12,447,386,478,112,275,296,187
