START_TIME,PS_TNDR_REQ,PS_TNDR_AMNT,PS_EMD_REQ,ZFYLX,CHANGE_BY,PROCESS_TYPE,STATUS,APPROVE,PROC_GROUP,ZZ_NOTICE,ZZ_DAPPROVE,ZZ_EC,ZZ_URL,ITEM_MODIFY,PURCHASE_MODIFY,STANDARD_MODIFY,ZZ_PBYZ,ZZ_ZBFYF_S,ZJ_LBMS,ZZ_PBRS,ZQUOT_VIS,ZZ_LB
10591,1,10857,1,8074,50,6895,10068,9258,124,31,4536,125,10723,10709,37,183,64,4164,1679,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,124,31,4536,125,10723,10709,37,183,64,4164,554,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,124,10724,4536,125,10723,10709,37,183,64,4164,128,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,124,31,4536,125,10723,10709,37,183,64,4164,89,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,746,124,23,4536,125,10723,10709,37,183,64,4164,567,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,124,10724,4536,125,10723,10709,37,183,64,4164,567,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,124,10724,4536,125,10723,10709,37,183,64,4164,1679,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,4,37,4536,125,10723,10709,37,183,64,4164,1679,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,4,37,4536,125,10723,10709,37,183,64,4164,36,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,218,31,4536,125,10723,10709,37,183,64,4164,554,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,218,10724,4536,125,10723,10709,37,183,64,4164,567,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,218,10724,4536,125,10723,10709,37,183,64,4164,1679,5841,4081,124
10591,1,10857,1,2783,1402,593,10068,746,451,10724,4536,125,10723,10709,37,183,1,4164,1679,3574,3360,10732
10591,1,10857,1,8074,783,194,10068,9258,235,10724,4536,125,10723,10709,37,183,1213,4164,554,5841,4081,124
10591,1,10857,1,8074,50,2645,10068,9258,4,31,4536,125,10723,10709,37,183,12,4164,14,3574,3360,124
10591,1,10857,1,8074,50,2645,10068,9258,4,31,4536,125,10723,10709,37,183,12,4164,14,3574,3360,124
10591,1,10857,1,8074,50,2645,10068,9258,4,10724,4536,125,10723,16,37,183,12,4164,14,3574,3360,124
10591,1,10857,1,8074,50,6895,10068,9258,218,37,4536,125,10723,10709,37,183,64,4164,1679,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,218,23,4536,2,10723,10709,37,183,64,4164,567,5841,4081,124
10591,1,10857,1,8074,783,2645,10068,746,235,10724,4536,125,10723,10709,37,183,1213,4164,1679,5841,3360,124
10591,1,10857,1,8074,50,6895,10068,9258,18,10724,4536,125,10723,10709,37,183,64,4164,567,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,218,10724,4536,125,10723,10709,37,183,64,4164,554,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,14,10724,4536,1,10723,10709,37,183,64,6558,198,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,218,10724,4536,125,10723,10709,37,183,64,4164,1679,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,218,23,4536,125,10723,10709,37,183,64,4164,1679,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,218,23,4536,125,10723,10709,37,183,64,4164,554,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,218,10724,4536,125,10723,10709,37,183,64,4164,1679,5841,4081,124
10591,1,10857,1,2783,1402,593,10068,9258,479,31,4536,125,10723,10709,37,183,1,4164,567,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,18,10724,4536,2,10723,10709,37,183,64,4164,554,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,18,10724,4536,1,10723,10709,37,183,64,4164,7119,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,18,23,4536,2,10723,10709,37,183,64,4164,554,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,18,23,4536,125,10723,10709,37,183,2944,4164,1679,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,18,37,4536,125,10723,10709,37,183,2944,4164,1679,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,746,121,31,4536,125,10723,10709,37,183,64,1,567,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,12,10724,4536,125,10723,10709,37,183,64,4164,1679,5841,4081,124
10591,1,10857,1,8074,783,6895,10068,9258,77,37,4536,125,10723,10709,37,183,326,4164,1679,3574,3360,124
10591,1,10857,1,8074,783,194,10068,9258,302,31,4536,125,10723,16,37,183,1213,4164,1679,5841,4081,124
10591,1,10857,1,8074,783,194,10068,9258,302,37,4536,125,10723,10709,37,183,1213,4164,567,5841,4081,124
10591,1,10857,1,2783,646,6895,10068,9258,634,37,4536,125,10723,10709,37,183,279,4164,1679,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,9258,18,31,4536,125,10723,10709,10819,183,64,4164,1679,5841,4081,124
10591,1,10857,1,8074,50,6895,10068,746,121,31,4536,125,10723,10709,37,183,64,4164,554,5841,4081,124
