CHANGE_BY,ZFLAG,QUOT_DEAD,ZZ_CGZH,STATUS,APPROVE,ZZ_FYLX,ZZ_EC,ZZ_URL,ISMAIN,LOCKPRICE,REMARK,PRINTID,BIDCOLLECT,ARCHIVES,ARCHIVESTIME
16,6,372,2,3596,3415,2690,4197,2118,4197,3412,1,9,1960,2677,3479
297,6,2781,96,3596,3415,2690,1,919,4197,3412,2,5,1960,260,3479
11,6,2781,108,3596,3415,2690,2,1166,4197,3412,1,5,1960,260,3479
297,6,2781,115,3596,3415,2690,1,919,4197,3412,1,4180,1960,2677,3479
297,6,2781,115,3596,3415,2690,4197,2118,4197,3412,1,2,1960,260,3479
297,6,2781,115,3596,3415,2690,1,2118,4197,3412,1,4180,1960,2677,3479
297,6,2781,115,3596,3415,2690,4197,919,4197,3412,1,3,1960,2677,3479
297,6,2781,36,475,469,2690,4197,919,4197,791,2,5,1960,2677,3479
297,6,2781,36,3596,3415,2690,4197,2118,4197,3412,1,9,1960,2677,3479
297,6,2781,96,3596,3415,2690,2,2118,4197,3412,1,9,1960,2677,3479
16,6,372,76,3596,3415,2690,2,2118,4197,3412,1,2,1960,2677,3479
396,6,2781,125,3596,3415,2690,1,919,4197,3412,1,5,1960,2677,107
297,6,2781,36,3596,3415,2690,1,919,4197,3412,1,2,1960,260,70
297,6,2781,36,3596,3415,2690,1,2118,4197,3412,1,9,1960,2677,3479
16,6,372,73,475,469,2690,1,2118,4197,791,2,5,1960,2677,3479
16,6,372,73,3596,3415,2690,2,2118,4197,3412,2,5,1960,260,107
396,6,2781,353,3596,3415,2690,1,1166,4197,3412,1,5,1960,2677,70
507,6,2781,141,3596,3415,2690,4197,2118,4197,3412,2,2,1960,2677,3479
15,6,2781,56,475,469,2690,2,2118,4197,791,1,2,1960,260,70
15,6,2781,56,475,469,2690,2,2118,4197,791,2,4180,1960,2677,3479
15,6,2781,56,475,469,2690,1,2118,4197,791,1,4180,1960,2677,3479
15,6,2781,56,3596,3415,2690,2,919,4197,3412,2,3,1960,2677,3479
396,6,2781,320,3596,3415,2690,1,919,4197,3412,2,9,1960,2677,3479
396,6,2781,125,3596,3415,2690,2,1166,4197,3412,2,9,1960,2677,57
396,6,2781,125,3596,3415,2690,1,1166,4197,3412,1,9,1960,2677,3479
396,6,2781,125,3596,3415,2690,1,1166,4197,3412,1,4180,1960,260,3479
11,6,2781,22,3596,3415,2690,1,1166,4197,3412,1,2,1960,2677,3479
507,6,2781,141,3596,3415,2690,4197,919,4197,3412,1,5,1960,2677,57
297,6,2781,212,3596,3415,2690,2,2118,4197,3412,1,4180,1960,2677,107
15,6,2781,132,3596,3415,2690,2,2118,4197,3412,1,9,1960,260,70
16,6,372,83,3596,3415,2690,2,1166,4197,3412,1,5,1960,2677,70
396,6,2781,320,3596,3415,2690,4197,1166,4197,3412,2,5,1960,2677,3479
348,6,2781,320,3596,3415,1512,4197,919,4197,3412,2,9,1960,2677,3479
348,6,2781,353,3596,3415,1512,1,919,4197,3412,1,4180,1960,2677,3479
11,6,2781,108,475,469,2690,4197,919,4197,791,1,5,1960,2677,3479
11,6,2781,108,3596,179,2690,4197,2118,4197,791,1,4180,1960,2677,107
348,6,2781,353,3596,3415,1512,4197,919,4197,3412,1,5,1960,2677,3479
507,6,2781,141,3596,3415,2690,1,919,4197,3412,1,9,1960,260,3479
237,6,2781,228,3596,3415,1512,2,919,4197,3412,1,9,1960,260,3479
396,6,2781,186,475,469,2690,1,2118,4197,791,1,9,1960,2677,3479
396,6,2781,186,3596,3415,2690,2,919,4197,3412,1,9,1960,2677,3479
396,6,2781,353,3596,3415,2690,1,1166,4197,3412,2,9,1960,2677,3479
396,6,2781,353,3596,3415,2690,1,1166,4197,3412,1,9,1960,2677,70
297,6,2781,212,3596,3415,2690,2,919,4197,3412,1,5,1960,260,70
297,6,2781,212,3596,3415,2690,2,2118,4197,3412,1,5,1960,2677,57
297,6,2781,212,3596,3415,2690,4197,2118,4197,3412,1,5,1960,2677,3479
348,6,2781,353,3596,3415,1512,2,919,4197,3412,1,9,1960,2677,3479
15,6,2781,56,3596,3415,2690,4197,2118,4197,3412,1,2,1960,2677,3479
396,6,2781,353,475,469,2690,2,919,4197,791,1,4180,1960,2677,107
396,6,2781,353,3596,3415,2690,1,919,4197,3412,1,9,1960,2677,3479
15,6,2781,132,3596,3415,2690,2,2118,4197,3412,1,5,1960,2677,3479
347,6,372,15,3596,3415,2690,1,1166,4197,3412,2,9,1960,2677,3479
297,6,2781,96,3596,3415,2690,1,919,4197,3412,2,3,1960,2677,3479
297,6,2781,96,3596,3415,2690,4197,2118,4197,3412,1,9,1960,2677,3479
443,6,15,83,3596,3415,2690,2,919,4197,3412,1,3,1960,2677,3479
15,6,2781,56,3596,3415,2690,1,919,4197,3412,1,9,1960,2677,107
507,6,2781,202,3596,3415,2690,1,2118,4197,3412,1,9,1960,2677,3479
347,6,14,2,3596,3415,2690,2,1166,4197,3412,1,9,1960,2677,3479
