ITEM_NO,NUMBER_INT,ZZ_PP,ZZ_ZJXH,ZZ_DZ,ZZ_GCZX,ZZ_GCBH,ZZ_CZYQ,CATEGORY_ID,QUANTITY,UNIT,DELIV_DATE,ZZ_EXTWG,ZZ_EWBEZ
4155,4155,42071,14,9752,1,1,21,8,42305,8960,3136,9776,9776
4155,4155,3,10,9752,37167,2,21,88,42305,8960,50,9776,9776
2932,2932,42071,10,9752,37167,2,42265,88,42305,8960,50,9776,9776
1529,1529,42071,1,9752,6,305,42265,88,42305,2068,4,9776,9776
1356,1356,42071,3158,9752,11,35202,21,217,42305,19723,3136,9776,9776
1184,1184,42071,4,9752,4,35202,3,217,42305,19723,3136,9776,9776
1077,1077,42071,3158,9752,37167,2,42265,8,42305,2068,3136,9776,9776
994,994,4,3158,9752,37167,217,42265,88,42305,8960,4,9776,9776
4155,4155,42071,795,9752,28,529,42265,87,42305,8960,3136,9776,9776
2932,2932,42071,50,9752,28,529,42265,19,42305,8960,3136,9776,9776
4155,4155,42071,2,9752,28,529,42265,87,42305,8960,3136,9776,9776
4155,4155,42071,3158,9752,1,529,42265,54,42305,8960,3136,9776,9776
2373,2373,42071,39,9752,4,2,3,13,42305,686,34,9776,9776
2010,2010,42071,229,9752,5,335,42265,25,42305,686,34,9776,9776
4155,4155,42071,215,9752,8,1318,42265,97,42305,19723,34,9776,9776
2932,2932,42071,123,9752,1,1318,21,130,42305,19723,34,9776,9776
2373,2373,42071,72,9752,213,217,21,97,42305,19723,34,9776,9776
4155,4155,42071,3158,9752,11,529,21,38,42305,19723,34,9776,9776
2932,2932,42071,26183,9752,34,1318,42265,38,42305,19723,34,9776,9776
2373,2373,42071,36,9752,3,1,21,38,42305,19723,3136,9776,9776
2010,2010,42071,8,9752,37167,529,21,38,42305,19723,3136,9776,9776
1724,1724,42071,133,9752,6,4,21,38,42305,19723,3136,9776,9776
1529,1529,42071,8,9752,37167,1,42265,38,42305,19723,3136,9776,9776
1356,1356,42071,795,9752,37167,10,21,38,42305,19723,3136,9776,9776
1184,1184,42071,133,9752,3,35202,21,38,42305,19723,3136,9776,9776
1077,1077,42071,3158,9752,4,305,42265,38,42305,19723,3136,9776,9776
4155,4155,42071,3158,9752,9,335,21,21,42305,925,34,9776,9776
2932,2932,42071,45,9752,37167,217,42265,21,42305,925,34,9776,9776
4155,4155,42071,23,9752,22,403,3,38,42305,19723,34,9776,9776
4155,4155,42071,10,9752,37167,3,42265,88,42305,8960,27,9776,9776
2932,2932,42071,10,9752,34,3,21,88,42305,8960,27,9776,9776
4155,4155,1,1,9752,1,1318,42265,367,42305,8960,10,9776,9776
4155,4155,42071,3158,9752,229,1,21,436,42305,8960,3136,9776,9776
4155,4155,42071,42,9752,20,1,21,20,42305,19723,27,9776,9776
2932,2932,42071,229,9752,7,35202,42265,20,42305,19723,3,9776,9776
2373,2373,42071,64,9752,25,35202,21,2,42305,19723,3,9776,9776
2010,2010,42071,3,9752,14,343,42265,2,42305,686,3,9776,9776
4155,4155,42071,23,9752,64,79,42265,60,42305,19723,18,9776,9776
2932,2932,42071,34,9752,5,1318,3,60,42305,19723,18,9776,9776
2373,2373,42071,244,9752,74,1,42265,60,42305,19723,18,9776,9776
2010,2010,42071,15,9752,78,1318,42265,60,42305,19723,18,9776,9776
1724,1724,42071,795,9752,133,1318,42265,60,42305,19723,18,9776,9776
1529,1529,42071,3158,9752,37167,1318,42265,60,42305,19723,18,9776,9776
1356,1356,42071,795,9752,4,335,42265,60,42305,19723,18,9776,9776
1184,1184,42071,3158,9752,14,26,42265,60,42305,19723,18,9776,9776
1077,1077,42071,327,9752,5,27,42265,60,42305,19723,18,9776,9776
4155,4155,42071,42,9752,213,55,21,100,42305,19723,249,9776,9776
2932,2932,42071,1,9752,28,529,21,23,42305,19723,249,9776,9776
2373,2373,42071,72,9752,37167,335,21,23,42305,19723,249,9776,9776
2010,2010,42071,3158,9752,3,1318,21,23,42305,19723,249,9776,9776
1724,1724,42071,79,9752,12,4,21,23,42305,19723,249,9776,9776
1529,1529,42071,29,9752,190,410,21,23,42305,19723,249,9776,9776
1356,1356,42071,3158,9752,40,529,21,23,42305,19723,249,9776,9776
1184,1184,42071,162,9752,37,1318,42265,23,42305,19723,249,9776,9776
1077,1077,42071,22,9752,37167,1,21,23,42305,19723,249,9776,9776
994,994,42071,3158,9752,8,1318,21,23,42305,19723,249,9776,9776
908,908,42071,23,9752,44,410,21,23,42305,19723,249,9776,9776
843,843,42071,3158,9752,23,305,21,23,42305,19723,249,9776,9776
4155,4155,42071,471,9752,2,343,21,2,42305,8960,2,9776,9776
4155,4155,42071,30,9752,229,2,42265,26,42305,8960,5,9776,9776
4155,4155,42071,3158,9752,4,4,3,91,42305,8960,3136,9776,9776
2932,2932,42071,8,9752,4,4,21,91,42305,8960,3136,9776,9776
4155,4155,42071,3158,9752,4,4,21,91,42305,8960,3136,9776,9776
2932,2932,42071,18,9752,4,4,42265,91,42305,8960,3136,9776,9776
4155,4155,42071,11,9752,229,2,21,26,42305,8960,5,9776,9776
4155,4155,42071,269,9752,229,1,42265,1,42305,8960,3136,9776,9776
4155,4155,42071,79,9752,8,1318,21,53,42305,8960,3136,9776,9776
4155,4155,42071,269,9752,6,1,21,3,42305,2068,34,9776,9776
4155,4155,42071,471,9752,190,343,21,88,42305,19723,34,9776,9776
2932,2932,42071,123,9752,40,11,42265,88,42305,19723,34,9776,9776
2373,2373,42071,64,9752,190,1,3,88,42305,19723,34,9776,9776
2010,2010,42071,22,9752,190,1318,21,88,42305,19723,34,9776,9776
4155,4155,42071,8,9752,28,529,21,12,42305,8960,3136,9776,9776
2932,2932,42071,45,9752,78,1318,42265,38,42305,19723,34,9776,9776
